Authors,Title,Year,Source title,Processed_Abstract,Processed_Keywords,Algorithms_in_Abstract_Expanded_New,Algorithms_in_Keywords_Expanded_New
Batista S.; Almeida J.A.; Koester S.; Gasparri L.G.; Santana L.S.; Gallo B.H.D.; Palavani L.B.; Bertani R.; Landeiro J.A.,Safety of withholding perioperative steroids for patients with pituitary resection with an intact hypothalamus-pituitary-adrenal axis: A meta-analysis of randomized clinical trials,2023,Clinical Neurology and Neurosurgery,introduction several observational studies evaluated effects preoperative steroids ster transsphenoidal pituitary removal patients intact hypothalamuspituitaryadrenal axis however consensus built upon randomized studies previously performed purpose comprehensively evaluate clinical effects patients receiving ster compared receiving steroids noster transsphenoidal pituitary resection metaanalysis randomized clinical trials rct conducted methods systematic review literature rcts comparing ster noster performed accordance prisma guidelines databases including pubmed cochrane library web science embase queried primary outcomes adrenal insufficiency ai diabetes insipidus di postoperatively results total 4 final studies included 530 total patients analyzed metaanalysis suggested significant difference ster noster groups postoperatively related transient ai rr 083 95 ci 051–135 p 045 i² 52 permanent ai rr 097 95 ci 041–231 p 095 i² 0 permanent di rr 062 95 ci 016–233 p 048 i² 0 nevertheless ster group significantly lower rates transient di rr 060 95 ci 038–095 p 003 i² 5 postop hyponatremia rr 049 95 ci 028–087 p 002 i² 0 conclusion study demonstrates evidence rcts patients receiving preoperative ster safe effective preoperatively resection pituitary adenomas intact hypothalamuspituitaryadrenal axis © 2023 elsevier bv,hypothalamuspituitaryadrenal axis pituitary adenomas steroids transsphenoidal pituitary resection,[],[]
Ishikawa K.; Izumi T.; Nishihori M.; Imaizumi T.; Goto S.; Suzuki K.; Yokoyama K.; Kanamori F.; Uda K.; Araki Y.; Saito R.,Clinical Efficiency of an Artificial Intelligence-Based 3D-Angiography for Visualization of Cerebral Aneurysm: Comparison with the Conventional Method,2023,Clinical Neuroradiology,purpose artificial intelligence aibased threedimensional angiography 3da reported demonstrate visualization cerebral vasculature equivalent threedimensional digital subtraction angiography 3ddsa however applicability efficacy aibased 3d‑a algorithm yet investigated 3ddsa micro imaging study evaluated usefulness aibased 3d‑a 3ddsa micro imaging materials methods 3ddsa micro datasets 20 consecutive patients cerebral aneurysm ca reconstructed 3ddsa 3d‑a three reviewers compared 3ddsa 3d‑a terms qualitative parameters degrees visualization ca anterior choroidal artery acha quantitative parameters aneurysm diameter neck diameter parent vessel diameter visible length acha results qualitative evaluation diagnostic potential revealed visualization ca proximal middle parts acha 3d‑a equal conventional 3ddsa contrast visualization distal part acha lower 3d‑a 3ddsa regarding quantitative evaluation aneurysm diameter neck diameter parent vessel diameter comparable 3d‑a 3ddsa contrast visible length acha lower 3d‑a 3ddsa conclusions aibased 3d‑a technique feasible evaluable visualization cerebral vasculature respect quantitative qualitative parameters 3ddsa micro imaging however 3d‑a technique offers lower visualization distal portion acha 3ddsa © 2023 authors exclusive licence springerverlag gmbh germany,anterior choroidal artery artificial intelligence cerebral aneurysm deep learning threedimensional digital subtraction angiography,[],[]
Ho S.Y.-C.; Chien T.-W.; Chou W.,Circle packing charts generated by ChatGPT to identify the characteristics of articles by anesthesiology authors in 2022: Bibliometric analysis,2023,Medicine (United States),background chatgpt open ai san francisco ca denoted chat generative pretrained transformer hot topic discussion past months verification whether code drawing circle packing charts cpcs r generated chatgpt used identify characteristics articles anesthesiology authors needed study aimed provide insights article characteristics field anesthesiology highlight potential chatgpt data visualization techniques eg cpcs bibliometric analysis methods total 23012 articles indexed pubmed 2022 authors field anesthesiology code drawing cpcs r generated chatgpt modified authors identify characteristics articles 2 forms 23012 100 topimpact factors journals t100if using cpcs 3 visualizations network charts impact beam plots sankey diagrams able display article features commonly used bibliometric analysis authorweighted scheme absolute advantage coefficient used assess dominant entities countries institutes authors themes defined pubmed mesh terms results findings indicate modifications made code generated chatgpt drawing cpcs r publications field anesthesiology dominated china followed united states japan capital medical university china showa university hospital japan dominate research institutes terms publications respectively covid19 frequently reported theme t100if accounting 29 conclusions articles cpcs regarding bibliometrics ever found pubmed code drawing cpcs r generated chatgpt modification required implementation bibliometrics cpcs used future studies identify characteristics articles areas research rather limiting anesthesiology study copyright © 2023 authors,absolute advantage coefficient authorweighted scheme chatgpt circle packing charts impact beam plot network chart sankey diagram,['Transformer Networks'],[]
Sevgi U.T.; Erol G.; Doğruel Y.; Sönmez O.F.; Tubbs R.S.; Güngor A.,The role of an open artificial intelligence platform in modern neurosurgical education: a preliminary study,2023,Neurosurgical Review,use artificial intelligence neurosurgical education growing recent times chatgpt free easily accessible language model gaining popularity alternative education method necessary explore potential program neurosurgery education evaluate reliability study aimed show reliability chatgpt asking various questions chat engine contribute neurosurgery education preparing case reports questions contributions writing academic articles results study showed chatgpt provided intriguing interesting responses considered dependable source information absence citations scientific queries raises doubts credibility answers provided therefore advisable solely rely chatgpt educational resource updates specific prompts may possible improve accuracy conclusion chatgpt potential educational tool reliability needs evaluated improved widely adopted neurosurgical education © 2023 authors exclusive licence springerverlag gmbh germany part springer nature,artificial intelligence chatbot chatgpt neurosurgical education scientific article,[],[]
Avram M.J.; Bateman B.T.; Culley D.J.; Fernandez-Bustamante A.; Houle T.T.; London M.J.; Rathmell J.P.; Schreiber K.L.; Vidal Melo M.F.,Journal-related Activities and Other Special Activities at the 2023 American Society of Anesthesiologists Meeting,2023,Anesthesiology,abstract available,,[],[]
Song A.-L.; Li Y.-J.; Liang H.; Sun Y.-Z.; Shu X.; Huang J.-H.; Yang Z.-Y.; He W.-Q.; Zhao L.; Zhu T.; Zhong K.-H.; Chen Y.-W.; Lu K.-Z.; Yi B.,Dynamic Nomogram for Predicting the Risk of Perioperative Neurocognitive Disorders in Adults,2023,Anesthesia and Analgesia,background simple rapid tools screening highrisk patients perioperative neurocognitive disorders pnds urgently needed improve patient outcomes developed online tool machinelearning algorithms using routine variables based multicenter data methods entire dataset composed 49768 surgical patients 3 representative academic hospitals china surgical patients older 45 years undergoing general anesthesia without history pnd enrolled patients discharge diagnosis pnd patient pnd group patients nonpnd group randomly extracted big data platform according surgical type age source data pnd group ratio 31 data preprocessing feature selection general linear model glm artificial neural network ann naive bayes nb used model development evaluation model performance evaluated area receiver operating characteristic curve rocauc area precisionrecall curve prauc brier score index prediction accuracy ipa sensitivity specificity etc model also externally validated multiparameter intelligent monitoring intensive care mimic database afterward developed online visualization tool preoperatively predict patients risk developing pnd based models best performance results total 1051 patients 242 pnd 809 nonpnd 2884 patients 62 patients pnd analyzed multicenter data model development test internal validation external validation1 mimic dataset external validation2 model performance based glm much better based ann nb bestperforming glm model validation1 dataset achieved rocauc 0874 95 confidence interval ci 08330915 prauc 0685 95 ci 05840786 sensitivity 726 95 ci 614815 specificity 844 95 ci 793884 brier score 0131 ipa 447 rocauc 0761 95 ci 07120809 prauc 0475 95 ci 03700581 brier score 0053 ipa 768 validation2 dataset afterward developed online tool httpspndpredictivemodeldynnomshinyappsio dynnomapp 10 routine variables preoperatively screening highrisk patients conclusions developed simple rapid online tool preoperatively screen patients risk pnd using glm based multicenter data may help medical staffs decisionmaking regarding perioperative management strategies improve patient outcomes © 2023 lippincott williams wilkins rights reserved,,['Naive Bayes'],[]
Verhoeff M.; Weil L.I.; Chu H.; Vermeeren Y.; de Groot J.; Burgers J.S.; Jeurissen P.P.T.; Zwerwer L.R.; van Munster B.C.,Clusters of medical specialties around patients with multimorbidity – employing fuzzy c-means clustering to explore multidisciplinary collaboration,2023,BMC Health Services Research,background hospital care organization structured around medical specialties focused separate treatment individual organ systems challenged increasing prevalence multimorbidity support hospitals ’ realization multidisciplinary care hypothesized using machine learning clinical data helps identify groups medical specialties simultaneously involved hospital care patients multimorbidity methods conducted crosssectional study patients dutch general hospital used fuzzy cmeans clustering algorithm analysis explored patients ’ membership degrees cluster identify subgroups medical specialties provide care patients multimorbidity used retrospectively collected electronic health record data 2017 extracted data 22133 patients aged ≥18 years received outpatient clinical care two chronic oncological diagnoses results found six clusters medical specialties identified 22 subgroups clusters labeled based specialties characterized 1 dermatology plastic surgery 2 six specialties gynecology rheumatology orthopedic surgery urology gastroenterology otorhinolaryngology 3 pulmonology 4 internal medicine cardiology geriatrics 5 neurology physiatry rehabilitation anesthesiology 6 internal medicine patients full dominant membership one clusters medical specialties 11 subgroups whereas fewer patients membership two clusters prevalence specific diagnosis groups patient characteristics healthcare utilization differed subgroups conclusion study shows clusters subgroups medical specialties simultaneously involved hospital care patients multimorbidity identified fuzzy cmeans cluster analysis using clinical data clusters subgroups differed regarding involved medical specialties diagnoses patient characteristics healthcare utilization strategy hospitals medical specialists analyze subgroups target populations might benefit improved multidisciplinary collaboration © 2023 biomed central ltd part springer nature,care coordination cluster analysis electronic health records machine learning multidisciplinary collaboration multimorbidity,"['K-Means Clustering', 'Machine Learning']","['K-Means Clustering', 'Machine Learning']"
Kim H.; Yoon H.-K.; Lee H.; Jung C.-W.; Lee H.-C.,Predicting optimal endotracheal tube size and depth in pediatric patients using demographic data and machine learning techniques,2023,Korean Journal of Anesthesiology,background use endotracheal tubes etts appropriate size depth help minimize intubationrelated complications pediatric patients existing agebased formulae selecting optimal ett size present several inaccuracies developed machine learning model predicts optimal size depth etts pediatric patients using demographic data enabling clinical applications methods data 37057 patients younger 12 years underwent general anesthesia endotracheal intubation retrospectively analyzed gradient boosted regression tree gbrt model developed compared traditional agebased formulae results gbrt model demonstrated highest macroaveraged f1 scores 0502 95 ci 0486 0568 0669 95 ci 0640 0694 predicting uncuffed cuffed ett size internal diameter outperforming agebased formulae yielded 0163 95 ci 0140 0196 p 0001 0392 95 ci 0378 0406 p 0001 respectively predicting ett depth distance tip lip corner gbrt model showed lowest mean absolute error 071 cm 95 ci 069 072 072 cm 95 ci 070 074 compared agebased formulae showed error 118 cm 95 ci 116 120 p 0001 134 cm 95 ci 131 138 p 0001 uncuffed cuffed ett respectively conclusions gbrt model using demographic data accurately predicted ett size depth results validated model may practical predicting optimal ett size depth pediatric patients © korean society anesthesiologists 2023,airway management demography general anesthesia intratracheal intubation machine learning pediatrics,['Machine Learning'],['Machine Learning']
Chantrapornchai C.; Kajkamhaeng S.; Romphet P.,Micro-architecture design exploration template for AutoML case study on SqueezeSEMAuto,2023,Scientific Reports,convolutional neural network cnn models commonly used primarily image recognition tasks deep learning area finding right architecture needs lot handtune experiments timeconsuming paper exploit automl framework adds exploration microarchitecture block multiinput option proposed adaption applied squeezenet se blocks combined residual block combinations experiments assume three search strategies random hyperband bayesian algorithms combinations lead solutions superior accuracy model size monitored demonstrate application approach benchmarks cifar10 tsinghua facial expression datasets searches allow designer find architectures better accuracy traditional architectures without handtune efforts example cifar10 leads squeezenet architecture using 4 fire modules 59 accuracy exploring se block insertion model good insertion points lead accuracy 78 traditional squeezenet achieve accuracy around 50 tasks facial expression recognition proposed approach lead accuracy 71 proper insertion se blocks appropriate number fire modules adequate input merging traditional model achieve accuracy 20 © 2023 authors,,['Convolutional Neural Networks'],[]
Arnal-Velasco D.,The three ages balance for patient safety,2023,Current Opinion in Anaesthesiology,evolution patient safety perspectives technological age human factor age safety management age clear cut coexist current edition current opinion anesthesiology technology education safety section presents eclectic compendium articles addressing views technological improvements human factor developments organizational safety management impacting patient safety every solution every patch fill cheese hole holding domino piece fall opens new disruption elsewhere needs addressed following zeropreventable harm path © 2023 lippincott williams wilkins rights reserved,artificial intelligence electro encephalogram human factor low value care robotic surgery safety ii,[],[]
Litvinova O.; Hammerle F.P.; Stoyanov J.; Ksepka N.; Matin M.; Ławiński M.; Atanasov A.G.; Willschke H.,Patent and Bibliometric Analysis of the Scientific Landscape of the Use of Pulse Oximeters and Their Prospects in the Field of Digital Medicine,2023,Healthcare (Switzerland),study conducted comprehensive patent bibliometric analysis elucidate evolving scientific landscape surrounding development application pulse oximeters including field digital medicine utilizing data lens database period 2000–2023 identified united states china republic korea japan canada australia taiwan united kingdom predominant countries patent issuance pulse oximeter technology bibliometric analysis revealed consistent temporal trend volume publications citations underscoring growing importance pulse oximeters digitallyenabled medical practice using vosviewer softwareversion 1618 discerned six primary research clusters 1 measurement accuracy 2 integration internet things 3 applicability across diverse pathologies 4 telemedicine mobile applications 5 artificial intelligence deep learning 6 utilization anesthesiology resuscitation intensive care departments findings study indicate prospects leveraging digital technologies use pulse oximetry various fields medicine implications advancing understanding diagnosis prevention treatment cardiorespiratory pathologies conducted patent bibliometric analysis allowed identification technical solutions reduce risks associated pulse oximetry improving precision validity technically improved clinical diagnostic use use machine learning © 2023 authors,artificial intelligence digital medicine machine learning patent patient safety pulse oximeters telemedicine,['Machine Learning'],['Machine Learning']
Mizuguchi T.; Sawamura S.,Machine learning-based causal models for predicting the response of individual patients to dexamethasone treatment as prophylactic antiemetic,2023,Scientific Reports,riskbased strategies widely used decision making prophylaxis postoperative nausea vomiting ponv major complication general anesthesia however whether risk associated individual treatment effect remains uncertain used machine learningbased algorithms estimating conditional average treatment effect cate double machine learning dml doubly robust dr learner forest dml generalized random forest predict treatment response heterogeneity dexamethasone first choice prophylactic antiemetics electronic health record data 2026 adult patients underwent general anesthesia january june 2020 analyzed results indicated small subset patients respond dexamethasone treatment many patients may nonresponders estimated cate correlate predicted risk suggesting risk may associated individual treatment responses current study suggests predicting treatment responders cate models may appropriate clinical decision making conventional riskbased strategy © 2023 authors,,"['Random Forest', 'Decision-making', 'Machine Learning']",[]
Amorim E.; Zheng W.-L.; Ghassemi M.M.; Aghaeeaval M.; Kandhare P.; Karukonda V.; Lee J.W.; Herman S.T.; Sivaraju A.; Gaspard N.; Hofmeijer J.; Van Putten M.J.A.M.; Sameni R.; Reyna M.A.; Clifford G.D.; Westover M.B.,The International Cardiac Arrest Research Consortium Electroencephalography Database,2023,Critical Care Medicine,objectives develop international cardiac arrest research icare harmonized multicenter clinical electroencephalography database acute hypoxicischemic brain injury research involving patients cardiac arrest design multicenter cohort partly prospective partly retrospective setting seven academic teaching hospitals united states europe patients individuals 16 years old older comatose return spontaneous circulation following cardiac arrest continuous electroencephalography monitoring included interventions applicable measurements main results clinical electroencephalography data harmonized stored common waveform databasecompatible format automated spike frequency background continuity artifact detection electroencephalography calculated 10second resolution summarized hourly neurologic outcome determined 36 months using best cerebral performance category cpc scale database includes clinical data 56676 hours 39 terabytes continuous electroencephalography data 1020 patients patients died n 603 59 48 5 severe neurologic disability cpc 3 4 369 36 good functional recovery cpc 12 significant variability mean electroencephalography recording duration depending neurologic outcome range 53102 hr cpc 1 cpc 4 respectively epileptiform activity averaging 1 hz frequency least 1 hour seen 258 patients 25 19 cpc 12 29 cpc 35 burst suppression observed least 1 hour 207 56 635 97 patients cpc 12 cpc 35 respectively conclusions icare consortium electroencephalography database provides comprehensive realworld clinical electroencephalography dataset neurophysiology research comatose patients cardiac arrest dataset covers spectrum abnormal electroencephalography patterns cardiac arrest including epileptiform patterns ictalinterictal continuum © 2023 lippincott williams wilkins rights reserved,database electroencephalography heart arrest hypoxicischemic encephalopathy machine learning,[],['Machine Learning']
Niu J.; Lu Y.; Xu R.; Fang F.; Hong S.; Huang L.; Xue Y.; Fei J.; Zhang X.; Zhou B.; Zhang P.; Jiang R.,The prognostic value of intraoperative HRV during anesthesia in patients presenting for non-cardiac surgery,2023,BMC Anesthesiology,objective examine prognostic value hrv measurements anesthesia postoperative clinical outcomes prediction using machine learning models data sources vitaldb comprehensive database 6388 surgical patients admitted seoul national university hospital eligibility criteria study selection cases ecg lead ii recording duration less one hour excluded cases 20 missing hrv measurements also excluded total 5641 cases eligible analyses methods six machine learning models including logistic regression lr support vector machine svm random forest rf gradient boosting decision trees gbt extreme gradient boosting xgb ensemble five baseline models developed predict postoperative clinical outcomes prediction models trained using clinical information using clinical information hrv features respectively feature importance based shap method used assess contribution hrv measurements outcome predictions subgroup analysis also performed evaluate risk association postoperative icu stay various hrv measurements heart rate lowfrequency power lfp shortterm fluctuation dfa α1 result final cohort included 5641 unique cases among 4678 830 cases ages 40 2877 510 male 1073 190 stayed icu surgery 52 09 suffered inhospital death 3167561 total length hospital stay longer 7 days final test set highest auroc performance clinical information 079 postoperative icu stay 058 inhospital mortality 076 total length hospital stay prediction importantly using clinical information hrv features auroc performance 083 070 076 three clinical outcome predictions respectively subgroup analysis found patients average heart rate higher 70 lowfrequency power lfp 33 shortterm fluctuation dfa α1 095 anesthesia significantly higher risk entering icu surgery conclusion study suggested hrv measurements anesthesia feasible effective predicting postoperative clinical outcomes © 2023 authors,anesthesia clinical outcome hrv machine learning surgery,"['Logistic Regression', 'Decision Trees', 'Random Forest', 'Support Vector Machine', 'Machine Learning']",['Machine Learning']
Segas E.; Mick S.; Leconte V.; Dubois O.; Klotz R.; Cattaert D.; de Rugy A.,Intuitive movement-based prosthesis control enables arm amputees to reach naturally in virtual reality,2023,eLife,impressive progress made bionic limbs design control yet controlling numerous joints prosthetic arm necessary place hand correct position orientation grasp objects remains challenging designed intuitive movementbased prosthesis control leverages natural arm coordination predict distal joints missing people transhumeral limb loss based proximal residual limb motion knowledge movement goal control validated 29 participants including seven aboveelbow limb loss picked placed bottles wide range locations virtual reality median success rates 99 movement times identical natural movements control also enabled 15 participants including three limb differences reach grasp real objects robotic arm operated according principle remarkably achieved without prior training indicating control intuitive instantaneously usable could used phantom limb pain management virtual reality augment reaching capabilities invasive neural interfaces usually focused hand grasp control © 2023 segas et al,artificial intelligence artificial neural network human neuroscience prosthesis control virtual reality,[],[]
