From,To,Frequency
NEW ZEALAND,CHILE,1
NORWAY,POLAND,1
PAKISTAN,CAMEROON,1
PAKISTAN,INDONESIA,1
POLAND,AUSTRIA,2
POLAND,CZECH REPUBLIC,1
POLAND,HUNGARY,1
POLAND,QATAR,1
POLAND,SLOVAKIA,1
POLAND,SWEDEN,1
POLAND,UKRAINE,1
PORTUGAL,CAMEROON,1
PORTUGAL,EGYPT,2
PORTUGAL,INDONESIA,1
PORTUGAL,PAKISTAN,1
PORTUGAL,POLAND,1
QATAR,SLOVAKIA,1
SAUDI ARABIA,IRELAND,1
SAUDI ARABIA,JORDAN,1
SAUDI ARABIA,MALAYSIA,1
SAUDI ARABIA,QATAR,1
SINGAPORE,MALAYSIA,1
SINGAPORE,THAILAND,1
SPAIN,ARGENTINA,4
SPAIN,AUSTRALIA,3
SPAIN,BELGIUM,3
SPAIN,CHILE,1
SPAIN,COLOMBIA,1
SPAIN,DENMARK,3
SPAIN,ESTONIA,2
SPAIN,HONG KONG,1
SPAIN,INDIA,1
SPAIN,IRELAND,1
SPAIN,JORDAN,1
SPAIN,KENYA,1
SPAIN,MALAYSIA,1
SPAIN,MEXICO,1
SPAIN,PORTUGAL,3
SPAIN,SERBIA,1
SPAIN,SWEDEN,2
SPAIN,SWITZERLAND,3
SPAIN,TANZANIA,1
SPAIN,TURKEY,2
SPAIN,UNITED ARAB EMIRATES,1
SWEDEN,AUSTRIA,1
SWEDEN,CHILE,1
SWITZERLAND,AUSTRIA,1
SWITZERLAND,BRAZIL,1
SWITZERLAND,COLOMBIA,1
SWITZERLAND,DENMARK,1
SWITZERLAND,ECUADOR,1
SWITZERLAND,GREECE,1
SWITZERLAND,HONG KONG,1
SWITZERLAND,POLAND,1
SWITZERLAND,SERBIA,1
SWITZERLAND,SWEDEN,1
TURKEY,CAMEROON,1
TURKEY,EGYPT,1
TURKEY,HONG KONG,1
TURKEY,INDONESIA,1
TURKEY,MEXICO,1
TURKEY,PAKISTAN,1
TURKEY,PORTUGAL,1
TURKEY,SWITZERLAND,1
UKRAINE,CZECH REPUBLIC,1
UKRAINE,QATAR,1
UKRAINE,SLOVAKIA,1
UNITED KINGDOM,ARGENTINA,1
UNITED KINGDOM,AUSTRALIA,3
UNITED KINGDOM,AUSTRIA,1
UNITED KINGDOM,BELGIUM,9
UNITED KINGDOM,BRAZIL,1
UNITED KINGDOM,CANADA,7
UNITED KINGDOM,CHILE,1
UNITED KINGDOM,DENMARK,4
UNITED KINGDOM,EGYPT,1
UNITED KINGDOM,FINLAND,2
UNITED KINGDOM,FRANCE,10
UNITED KINGDOM,GREECE,1
UNITED KINGDOM,HONG KONG,1
UNITED KINGDOM,INDIA,6
UNITED KINGDOM,IRAN,1
UNITED KINGDOM,IRELAND,1
UNITED KINGDOM,ISRAEL,3
UNITED KINGDOM,JAPAN,2
UNITED KINGDOM,MALAYSIA,1
UNITED KINGDOM,NETHERLANDS,8
UNITED KINGDOM,NEW ZEALAND,2
UNITED KINGDOM,NORWAY,1
UNITED KINGDOM,PORTUGAL,1
UNITED KINGDOM,QATAR,2
UNITED KINGDOM,SAUDI ARABIA,1
UNITED KINGDOM,SINGAPORE,1
UNITED KINGDOM,SPAIN,8
UNITED KINGDOM,SWEDEN,3
UNITED KINGDOM,SWITZERLAND,4
UNITED KINGDOM,THAILAND,1
UNITED KINGDOM,TURKEY,1
UNITED KINGDOM,UNITED ARAB EMIRATES,2
USA,ARGENTINA,1
USA,AUSTRALIA,12
USA,AUSTRIA,3
USA,BELGIUM,9
USA,BRAZIL,4
USA,BULGARIA,1
USA,CAMBODIA,1
USA,CANADA,35
USA,CHILE,4
USA,CHINA,25
USA,COLOMBIA,3
USA,COSTA RICA,1
USA,CZECH REPUBLIC,2
USA,DENMARK,5
USA,ECUADOR,1
USA,EGYPT,1
USA,FINLAND,5
USA,FRANCE,16
USA,GEORGIA,1
USA,GERMANY,19
USA,GREECE,1
USA,HONG KONG,2
USA,INDIA,5
USA,ISRAEL,8
USA,ITALY,23
USA,JAPAN,3
USA,JORDAN,1
USA,KENYA,1
USA,KOREA,6
USA,NETHERLANDS,11
USA,NEW ZEALAND,1
USA,NORWAY,1
USA,PAKISTAN,1
USA,POLAND,1
USA,QATAR,1
USA,SAINT KITTS AND NEVIS,1
USA,SAUDI ARABIA,1
USA,SPAIN,10
USA,SWEDEN,3
USA,SWITZERLAND,7
USA,TANZANIA,1
USA,THAILAND,1
USA,TURKEY,3
USA,UKRAINE,1
USA,UNITED ARAB EMIRATES,3
USA,UNITED KINGDOM,21
